geo_level, geo_code, geo_version, month, statistic, total
country,ZA,2016,- Government Agriculture,Dec2017,2 075
country,ZA,2016,- Government Urban,Dec2017,19
country,ZA,2016,- Private,Dec2017,15 654
country,ZA,2016,- Other,Dec2017,7 513
country,ZA,2016,- Government Agriculture,Jan2018,3 484
country,ZA,2016,- Government Urban,Jan2018,64
country,ZA,2016,- Private,Jan2018,7 163
country,ZA,2016,- Other,Jan2018,345
country,ZA,2016,- Government Agriculture,Feb2018,2 462
country,ZA,2016,- Government Urban,Feb2018,239
country,ZA,2016,- Private,Feb2018,19 652
country,ZA,2016,- Other,Feb2018,5 426
country,ZA,2016,- Government Agriculture,Mar2018,13 823
country,ZA,2016,- Government Urban,Mar2018,66
country,ZA,2016,- Private,Mar2018,20 262
country,ZA,2016,- Other,Mar2018,18 932
country,ZA,2016,- Government Agriculture,Apr2018,1 054
country,ZA,2016,- Government Urban,Apr2018,
country,ZA,2016,- Private,Apr2018,18 458
country,ZA,2016,- Other,Apr2018,13 480
country,ZA,2016,- Government Agriculture,May2018,3 308
country,ZA,2016,- Government Urban,May2018,10
country,ZA,2016,- Private,May2018,14 383
country,ZA,2016,- Other,May2018,3 934
country,ZA,2016,- Government Agriculture,Jun2018,602
country,ZA,2016,- Government Urban,Jun2018,
country,ZA,2016,- Private,Jun2018,18 753
country,ZA,2016,- Other,Jun2018,4 571
country,ZA,2016,- Government Agriculture,Jul2018,2 318
country,ZA,2016,- Government Urban,Jul2018,639
country,ZA,2016,- Private,Jul2018,14 505
country,ZA,2016,- Other,Jul2018,581
country,ZA,2016,- Government Agriculture,Aug2018,1 256
country,ZA,2016,- Government Urban,Aug2018,275
country,ZA,2016,- Private,Aug2018,30 142
country,ZA,2016,- Other,Aug2018,5 076
country,ZA,2016,- Government Agriculture,Sep2018,1 773
country,ZA,2016,- Government Urban,Sep2018,
country,ZA,2016,- Private,Sep2018,9 386
country,ZA,2016,- Other,Sep2018,12 344
country,ZA,2016,- Government Agriculture,Oct2018,18 146
country,ZA,2016,- Government Urban,Oct2018,94
country,ZA,2016,- Private,Oct2018,16 880
country,ZA,2016,- Other,Oct2018,16 851
country,ZA,2016,- Government Agriculture,Nov2018,3 538
country,ZA,2016,- Government Urban,Nov2018,
country,ZA,2016,- Private,Nov2018,10 057
country,ZA,2016,- Other,Nov2018,1 802
country,ZA,2016,- Government Agriculture,Total,53 839
country,ZA,2016,- Government Urban,Total,1 406
country,ZA,2016,- Private,Total,195 295
country,ZA,2016,- Other,Total,90 855
province,EC,2016,- Government Agriculture,Dec2017,535
province,EC,2016,- Government Urban,Dec2017,
province,EC,2016,- Private,Dec2017,2 341
province,EC,2016,- Other,Dec2017,
province,EC,2016,- Government Agriculture,Jan2018,
province,EC,2016,- Government Urban,Jan2018,
province,EC,2016,- Private,Jan2018,13
province,EC,2016,- Other,Jan2018,
province,EC,2016,- Government Agriculture,Feb2018,
province,EC,2016,- Government Urban,Feb2018,183
province,EC,2016,- Private,Feb2018,41
province,EC,2016,- Other,Feb2018,22
province,EC,2016,- Government Agriculture,Mar2018,
province,EC,2016,- Government Urban,Mar2018,
province,EC,2016,- Private,Mar2018,3 218
province,EC,2016,- Other,Mar2018,1 304
province,EC,2016,- Government Agriculture,Apr2018,
province,EC,2016,- Government Urban,Apr2018,
province,EC,2016,- Private,Apr2018,2 264
province,EC,2016,- Other,Apr2018,
province,EC,2016,- Government Agriculture,May2018,
province,EC,2016,- Government Urban,May2018,
province,EC,2016,- Private,May2018,1 244
province,EC,2016,- Other,May2018,
province,EC,2016,- Government Agriculture,Jun2018,
province,EC,2016,- Government Urban,Jun2018,
province,EC,2016,- Private,Jun2018,246
province,EC,2016,- Other,Jun2018,
province,EC,2016,- Government Agriculture,Jul2018,
province,EC,2016,- Government Urban,Jul2018,
province,EC,2016,- Private,Jul2018,9 040
province,EC,2016,- Other,Jul2018,
province,EC,2016,- Government Agriculture,Aug2018,
province,EC,2016,- Government Urban,Aug2018,
province,EC,2016,- Private,Aug2018,1 048
province,EC,2016,- Other,Aug2018,783
province,EC,2016,- Government Agriculture,Sep2018,
province,EC,2016,- Government Urban,Sep2018,
province,EC,2016,- Private,Sep2018,2 368
province,EC,2016,- Other,Sep2018,
province,EC,2016,- Government Agriculture,Oct2018,1 330
province,EC,2016,- Government Urban,Oct2018,
province,EC,2016,- Private,Oct2018,498
province,EC,2016,- Other,Oct2018,
province,EC,2016,- Government Agriculture,Nov2018,
province,EC,2016,- Government Urban,Nov2018,
province,EC,2016,- Private,Nov2018,1 608
province,EC,2016,- Other,Nov2018,35
province,EC,2016,- Government Agriculture,Total,1 865
province,EC,2016,- Government Urban,Total,183
province,EC,2016,- Private,Total,23 929
province,EC,2016,- Other,Total,2 144
province,FS,2016,- Government Agriculture,Dec2017,
province,FS,2016,- Government Urban,Dec2017,
province,FS,2016,- Private,Dec2017,1 287
province,FS,2016,- Other,Dec2017,264
province,FS,2016,- Government Agriculture,Jan2018,3 484
province,FS,2016,- Government Urban,Jan2018,
province,FS,2016,- Private,Jan2018,12
province,FS,2016,- Other,Jan2018,
province,FS,2016,- Government Agriculture,Feb2018,
province,FS,2016,- Government Urban,Feb2018,
province,FS,2016,- Private,Feb2018,3 815
province,FS,2016,- Other,Feb2018,
province,FS,2016,- Government Agriculture,Mar2018,886
province,FS,2016,- Government Urban,Mar2018,
province,FS,2016,- Private,Mar2018,2 506
province,FS,2016,- Other,Mar2018,199
province,FS,2016,- Government Agriculture,Apr2018,
province,FS,2016,- Government Urban,Apr2018,
province,FS,2016,- Private,Apr2018,1 471
province,FS,2016,- Other,Apr2018,268
province,FS,2016,- Government Agriculture,May2018,
province,FS,2016,- Government Urban,May2018,
province,FS,2016,- Private,May2018,2 341
province,FS,2016,- Other,May2018,602
province,FS,2016,- Government Agriculture,Jun2018,
province,FS,2016,- Government Urban,Jun2018,
province,FS,2016,- Private,Jun2018,2 094
province,FS,2016,- Other,Jun2018,939
province,FS,2016,- Government Agriculture,Jul2018,1 276
province,FS,2016,- Government Urban,Jul2018,
province,FS,2016,- Private,Jul2018,479
province,FS,2016,- Other,Jul2018,
province,FS,2016,- Government Agriculture,Aug2018,
province,FS,2016,- Government Urban,Aug2018,
province,FS,2016,- Private,Aug2018,1 020
province,FS,2016,- Other,Aug2018,524
province,FS,2016,- Government Agriculture,Sep2018,
province,FS,2016,- Government Urban,Sep2018,
province,FS,2016,- Private,Sep2018,1 649
province,FS,2016,- Other,Sep2018,12 043
province,FS,2016,- Government Agriculture,Oct2018,1 740
province,FS,2016,- Government Urban,Oct2018,
province,FS,2016,- Private,Oct2018,913
province,FS,2016,- Other,Oct2018,14 181
province,FS,2016,- Government Agriculture,Nov2018,
province,FS,2016,- Government Urban,Nov2018,
province,FS,2016,- Private,Nov2018,368
province,FS,2016,- Other,Nov2018,257
province,FS,2016,- Government Agriculture,Total,7 386
province,FS,2016,- Government Urban,Total,
province,FS,2016,- Private,Total,17 955
province,FS,2016,- Other,Total,29 277
province,GT,2016,- Government Agriculture,Dec2017,312
province,GT,2016,- Government Urban,Dec2017,
province,GT,2016,- Private,Dec2017,265
province,GT,2016,- Other,Dec2017,
province,GT,2016,- Government Agriculture,Jan2018,
province,GT,2016,- Government Urban,Jan2018,64
province,GT,2016,- Private,Jan2018,65
province,GT,2016,- Other,Jan2018,31
province,GT,2016,- Government Agriculture,Feb2018,152
province,GT,2016,- Government Urban,Feb2018,
province,GT,2016,- Private,Feb2018,442
province,GT,2016,- Other,Feb2018,
province,GT,2016,- Government Agriculture,Mar2018,
province,GT,2016,- Government Urban,Mar2018,
province,GT,2016,- Private,Mar2018,215
province,GT,2016,- Other,Mar2018,51
province,GT,2016,- Government Agriculture,Apr2018,
province,GT,2016,- Government Urban,Apr2018,
province,GT,2016,- Private,Apr2018,439
province,GT,2016,- Other,Apr2018,
province,GT,2016,- Government Agriculture,May2018,
province,GT,2016,- Government Urban,May2018,
province,GT,2016,- Private,May2018,261
province,GT,2016,- Other,May2018,2 815
province,GT,2016,- Government Agriculture,Jun2018,
province,GT,2016,- Government Urban,Jun2018,
province,GT,2016,- Private,Jun2018,670
province,GT,2016,- Other,Jun2018,72
province,GT,2016,- Government Agriculture,Jul2018,
province,GT,2016,- Government Urban,Jul2018,168
province,GT,2016,- Private,Jul2018,177
province,GT,2016,- Other,Jul2018,
province,GT,2016,- Government Agriculture,Aug2018,21
province,GT,2016,- Government Urban,Aug2018,
province,GT,2016,- Private,Aug2018,2 345
province,GT,2016,- Other,Aug2018,23
province,GT,2016,- Government Agriculture,Sep2018,
province,GT,2016,- Government Urban,Sep2018,
province,GT,2016,- Private,Sep2018,231
province,GT,2016,- Other,Sep2018,52
province,GT,2016,- Government Agriculture,Oct2018,633
province,GT,2016,- Government Urban,Oct2018,43
province,GT,2016,- Private,Oct2018,347
province,GT,2016,- Other,Oct2018,191
province,GT,2016,- Government Agriculture,Nov2018,
province,GT,2016,- Government Urban,Nov2018,
province,GT,2016,- Private,Nov2018,847
province,GT,2016,- Other,Nov2018,232
province,GT,2016,- Government Agriculture,Total,1 118
province,GT,2016,- Government Urban,Total,275
province,GT,2016,- Private,Total,6 304
province,GT,2016,- Other,Total,3 467
