geo_level, geo_code, geo_version, month, statistic, total
country,ZA,2016,- Government Agriculture,Dec2017,41 083
country,ZA,2016,- Government Urban,Dec2017,882 000
country,ZA,2016,- Private,Dec2017,21 572
country,ZA,2016,- Other,Dec2017,3 043
country,ZA,2016,- Government Agriculture,Jan2018,6 630
country,ZA,2016,- Government Urban,Jan2018,42 591
country,ZA,2016,- Private,Jan2018,22 375
country,ZA,2016,- Other,Jan2018,65 141
country,ZA,2016,- Government Agriculture,Feb2018,9 421
country,ZA,2016,- Government Urban,Feb2018,292 891
country,ZA,2016,- Private,Feb2018,7 661
country,ZA,2016,- Other,Feb2018,30 505
country,ZA,2016,- Government Agriculture,Mar2018,8 716
country,ZA,2016,- Government Urban,Mar2018,843 939
country,ZA,2016,- Private,Mar2018,14 469
country,ZA,2016,- Other,Mar2018,14 745
country,ZA,2016,- Government Agriculture,Apr2018,124 238
country,ZA,2016,- Government Urban,Apr2018,
country,ZA,2016,- Private,Apr2018,15 489
country,ZA,2016,- Other,Apr2018,7 154
country,ZA,2016,- Government Agriculture,May2018,4 793
country,ZA,2016,- Government Urban,May2018,120 000
country,ZA,2016,- Private,May2018,16 144
country,ZA,2016,- Other,May2018,10 431
country,ZA,2016,- Government Agriculture,Jun2018,26 668
country,ZA,2016,- Government Urban,Jun2018,
country,ZA,2016,- Private,Jun2018,10 296
country,ZA,2016,- Other,Jun2018,133 178
country,ZA,2016,- Government Agriculture,Jul2018,8 370
country,ZA,2016,- Government Urban,Jul2018,49 656
country,ZA,2016,- Private,Jul2018,13 168
country,ZA,2016,- Other,Jul2018,16 901
country,ZA,2016,- Government Agriculture,Aug2018,5 147
country,ZA,2016,- Government Urban,Aug2018,192 727
country,ZA,2016,- Private,Aug2018,13 683
country,ZA,2016,- Other,Aug2018,21 837
country,ZA,2016,- Government Agriculture,Sep2018,18 391
country,ZA,2016,- Government Urban,Sep2018,
country,ZA,2016,- Private,Sep2018,22 339
country,ZA,2016,- Other,Sep2018,5 172
country,ZA,2016,- Government Agriculture,Oct2018,4 836
country,ZA,2016,- Government Urban,Oct2018,302 828
country,ZA,2016,- Private,Oct2018,12 381
country,ZA,2016,- Other,Oct2018,15 206
country,ZA,2016,- Government Agriculture,Nov2018,1 427
country,ZA,2016,- Government Urban,Nov2018,
country,ZA,2016,- Private,Nov2018,15 333
country,ZA,2016,- Other,Nov2018,71 340
country,ZA,2016,- Government Agriculture,Total,10 516
country,ZA,2016,- Government Urban,Total,184 623
country,ZA,2016,- Private,Total,14 487
country,ZA,2016,- Other,Total,19 873
province,EC,2016,- Government Agriculture,Dec2017,9 417
province,EC,2016,- Government Urban,Dec2017,
province,EC,2016,- Private,Dec2017,7 198
province,EC,2016,- Other,Dec2017,
province,EC,2016,- Government Agriculture,Jan2018,
province,EC,2016,- Government Urban,Jan2018,
province,EC,2016,- Private,Jan2018,26 923
province,EC,2016,- Other,Jan2018,
province,EC,2016,- Government Agriculture,Feb2018,
province,EC,2016,- Government Urban,Feb2018,382 514
province,EC,2016,- Private,Feb2018,53 659
province,EC,2016,- Other,Feb2018,342 777
province,EC,2016,- Government Agriculture,Mar2018,
province,EC,2016,- Government Urban,Mar2018,
province,EC,2016,- Private,Mar2018,3 587
province,EC,2016,- Other,Mar2018,19 970
province,EC,2016,- Government Agriculture,Apr2018,
province,EC,2016,- Government Urban,Apr2018,
province,EC,2016,- Private,Apr2018,4 564
province,EC,2016,- Other,Apr2018,
province,EC,2016,- Government Agriculture,May2018,
province,EC,2016,- Government Urban,May2018,
province,EC,2016,- Private,May2018,9 092
province,EC,2016,- Other,May2018,
province,EC,2016,- Government Agriculture,Jun2018,
province,EC,2016,- Government Urban,Jun2018,
province,EC,2016,- Private,Jun2018,39 552
province,EC,2016,- Other,Jun2018,
province,EC,2016,- Government Agriculture,Jul2018,
province,EC,2016,- Government Urban,Jul2018,
province,EC,2016,- Private,Jul2018,4 224
province,EC,2016,- Other,Jul2018,
province,EC,2016,- Government Agriculture,Aug2018,
province,EC,2016,- Government Urban,Aug2018,
province,EC,2016,- Private,Aug2018,14 237
province,EC,2016,- Other,Aug2018,7 464
province,EC,2016,- Government Agriculture,Sep2018,
province,EC,2016,- Government Urban,Sep2018,
province,EC,2016,- Private,Sep2018,6 725
province,EC,2016,- Other,Sep2018,
province,EC,2016,- Government Agriculture,Oct2018,7 636
province,EC,2016,- Government Urban,Oct2018,
province,EC,2016,- Private,Oct2018,5 975
province,EC,2016,- Other,Oct2018,
province,EC,2016,- Government Agriculture,Nov2018,
province,EC,2016,- Government Urban,Nov2018,
province,EC,2016,- Private,Nov2018,7 183
province,EC,2016,- Other,Nov2018,10 252
province,EC,2016,- Government Agriculture,Total,8 147
province,EC,2016,- Government Urban,Total,382 514
province,EC,2016,- Private,Total,6 096
province,EC,2016,- Other,Total,18 557
province,FS,2016,- Government Agriculture,Dec2017,
province,FS,2016,- Government Urban,Dec2017,
province,FS,2016,- Private,Dec2017,14 368
province,FS,2016,- Other,Dec2017,7 405
province,FS,2016,- Government Agriculture,Jan2018,6 630
province,FS,2016,- Government Urban,Jan2018,
province,FS,2016,- Private,Jan2018,375 000
province,FS,2016,- Other,Jan2018,
province,FS,2016,- Government Agriculture,Feb2018,
province,FS,2016,- Government Urban,Feb2018,
province,FS,2016,- Private,Feb2018,9 686
province,FS,2016,- Other,Feb2018,
province,FS,2016,- Government Agriculture,Mar2018,5 756
province,FS,2016,- Government Urban,Mar2018,
