geo_level,geo_code,geo_version,name,statistic,total
district,DC10,2016,Aberdeen,number of transactions,1
district,DC32,2016,Acornhoek Bushbuckridge,number of transactions,3
district,DC10,2016,Albany,number of transactions,18
district,DC4,2016,Albertinia HesseQua,number of transactions,3
district,DC10,2016,Alexandria Ndlambe,number of transactions,14
district,DC14,2016,Aliwal-Noord Maletsiwai,number of transactions,11
district,DC35,2016,Alldays Blouberg,number of transactions,30
district,DC30,2016,Amsterdam Mkhondo,number of transactions,47
district,DC29,2016,Ballito KwaDukuza,number of transactions,34
district,DC9,2016,Barkley-Wes Dikgatlong,number of transactions,13
district,DC14,2016,Barkly-Oos Senqu,number of transactions,10
district,DC10,2016,Bathurst Ndlambe,number of transactions,11
district,DC5,2016,Beaufort-Wes,number of transactions,15
district,DC12,2016,Bedford Amathole,number of transactions,8
district,DC30,2016,Bethal Gonovan Mbeki,number of transactions,93
district,DC19,2016,Bethlehem Dihlabeng,number of transactions,24
district,DC16,2016,Bethulie,number of transactions,3
municipality,MAN,2016,Bloemfontein Mangaung,number of transactions,57
district,DC39,2016,Bloemhof Lekwa-Tecma,number of transactions,45
district,DC18,2016,Boshof Tokologo,number of transactions,43
district,DC18,2016,Bothaville Nala,number of transactions,28
district,DC18,2016,Brandfort Masilonyana,number of transactions,17
district,DC39,2016,Bray Kagisano-Molopo,number of transactions,7
district,DC3,2016,Bredasdorp Cape Aqulhas,number of transactions,17
district,DC7,2016,Britstown,number of transactions,9
district,DC18,2016,Bultfontein Tswelopele,number of transactions,12
district,DC47,2016,Burgersfort Thubatse,number of transactions,49
district,DC3,2016,Caledon (Overberg) Theewaterskloof,number of transactions,45
district,DC4,2016,Calitzdorp Kannaland,number of transactions,21
district,DC6,2016,Calvinia Hantam,number of transactions,24
municipality,CPT,2016,Cape Town,number of transactions,6
district,DC48,2016,Carletonville Merafong,number of transactions,134
district,DC7,2016,Carnavon Kareeberg,number of transactions,7
district,DC12,2016,Cathcart Amahlathi,number of transactions,6
district,DC2,2016,Ceres Witzenberg,number of transactions,21
district,DC1,2016,Clanwilliam Cederberg,number of transactions,24
district,DC19,2016,Clocolan Setso,number of transactions,4
district,DC7,2016,Colesberg Umsombomvu,number of transactions,8
district,DC38,2016,Coligny (Lichtenburg) Ditsobotla,number of transactions,74
district,DC13,2016,Cradock Inxuba Yethemba,number of transactions,8
district,DC38,2016,Delareyville Tswaing,number of transactions,51
district,DC34,2016,Dendron Makhado (Louis Trichardt),number of transactions,62
district,DC38,2016,Derdepoort,number of transactions,11
district,DC16,2016,Dewetsdorp Naledi,number of transactions,8
district,DC7,2016,Douglas Siyancuma,number of transactions,4
district,DC16,2016,Edenburg Kopanong,number of transactions,6
district,DC14,2016,Elliot Sakhiszwe,number of transactions,9
district,DC36,2016,Ellisras Lephalale,number of transactions,33
municipality,DC40,2016,Ewbank,number of transactions,1
district,DC16,2016,Fauresmith Kopanong,number of transactions,17
district,DC19,2016,Ficksburg Setso,number of transactions,12
district,DC12,2016,Fort Beaufort Raymond Mhlaba,number of transactions,3
district,DC19,2016,Fouriesburg Dikabeng,number of transactions,10
district,DC20,2016,Frankfort Mafube,number of transactions,21
district,DC6,2016,Fraserburg Karoo Hoogland,number of transactions,8
district,DC4,2016,George,number of transactions,33
district,DC6,2016,Gordonia,number of transactions,32
district,DC10,2016,Graaff-Reinet Camdeboo,number of transactions,6
district,DC7,2016,Hanover Emthanjeni,number of transactions,4
district,DC19,2016,Harrismith Maluti-A-Phofung,number of transactions,26
district,DC20,2016,Heilbron Ngwathe,number of transactions,28
district,DC24,2016,Helpmekaar uMzinyathi,number of transactions,9
district,DC18,2016,Hoopstad Tswelopele,number of transactions,8
district,DC7,2016,Hopetown Thembelihle,number of transactions,12
district,DC10,2016,Humansdorp Kouga,number of transactions,35
district,DC16,2016,Jacobsdal Letsemeng,number of transactions,5
district,DC10,2016,Jansenville Ikwezi,number of transactions,6
district,DC10,2016,Joubertina Kou-Kamma,number of transactions,10
district,DC27,2016,Jozini Mkuze,number of transactions,2
district,DC8,2016,Kenhardt Kai !Garib,number of transactions,20
district,DC9,2016,Kimberley / HAY Frances Baard,number of transactions,39
municipality,BUF,2016,King Williams Town Baffalo City,number of transactions,5
district,DC4,2016,Knysna,number of transactions,20
district,DC43,2016,Kokstad,number of transactions,15
district,DC32,2016,Komatipoort Nkomazi,number of transactions,40
district,DC12,2016,Komga Great Kei,number of transactions,10
district,DC20,2016,Koppies Ngwathe,number of transactions,7
district,DC20,2016,Kroonstad Moqhaka,number of transactions,21
district,DC45,2016,Kuruman Ga-Segonyana,number of transactions,29
district,DC4,2016,Ladismith Kannaland,number of transactions,25
district,DC19,2016,Ladybrand Mantsopa,number of transactions,14
district,DC23,2016,Ladysmith Emnambithi,number of transactions,35
district,DC5,2016,Laingsburg,number of transactions,2
district,DC30,2016,Leandra Gonovan Mbeki,number of transactions,54
district,DC19,2016,Lindley Nketoana,number of transactions,26
district,DC26,2016,Louwsburg Abaqulusi,number of transactions,11
district,DC14,2016,Maclear Elundini,number of transactions,12
district,DC38,2016,Mahikeng,number of transactions,19
district,DC1,2016,Malmesbury Swartland,number of transactions,29
district,DC37,2016,Marikana (Rustenburg) Bonjala,number of transactions,215
district,DC36,2016,Marken,number of transactions,21
district,DC19,2016,Marquard Setso,number of transactions,13
district,DC44,2016,Matatiele,number of transactions,2
district,DC13,2016,Middelburg EC Inxuba Yethemba,number of transactions,9
district,DC31,2016,Middelburg MP (Groblersdal) Nkagala,number of transactions,125
district,DC39,2016,Moloporivier Bophirima,number of transactions,4
district,DC13,2016,Molteno Inkwanca,number of transactions,2
district,DC2,2016,Montagu Langeberg,number of transactions,26
district,DC4,2016,Mosselbaai,number of transactions,21
district,DC15,2016,Mthatha King Sabata Dalindyebo,number of transactions,7
district,DC5,2016,Murraysburg,number of transactions,4
district,DC34,2016,Musina,number of transactions,9
district,DC6,2016,Namakwa,number of transactions,21
district,DC32,2016,Nelspruit Mbombela,number of transactions,117
district,DC25,2016,Newcastle,number of transactions,16
municipality,EKU,2016,Nigel Ekurhuleni,number of transactions,66
district,DC36,2016,Nylstroom Modimolle,number of transactions,134
district,DC18,2016,Odendaalsrus Matjhabeng,number of transactions,2
municipality,BUF,2016,Oos-Londen Baffalo City,number of transactions,39
district,DC4,2016,Oudtshoorn,number of transactions,29
district,DC2,2016,Paarl/Wel Drakenstein,number of transactions,21
district,DC20,2016,Parys Ngwathe,number of transactions,13
district,DC10,2016,Pearston Blue Crane,number of transactions,4
district,DC33,2016,Phalaborwa Ba-Phalaborwa,number of transactions,4
district,DC16,2016,Philipolis Kopanong,number of transactions,4
district,DC7,2016,Phillipstown Renosterberg,number of transactions,2
district,DC22,2016,Pietermaritzburg Msunduzi,number of transactions,110
district,DC1,2016,Piketberg Bergriver,number of transactions,28
municipality,NMA,2016,Port Elizabeth Nelson Mendela Metropolitan,number of transactions,2
district,DC21,2016,Port Shepstone Ray Nkonyeni,number of transactions,25
municipality,TSH,2016,Pretoria Tshwane,number of transactions,218
district,DC7,2016,Prieska Siyathemba,number of transactions,6
district,DC5,2016,Prins Albert,number of transactions,10
district,DC13,2016,Queenstown Lukanji,number of transactions,3
district,DC16,2016,Reddersburg Kopanong,number of transactions,7
district,DC19,2016,Reitz Nketoana,number of transactions,21
district,DC39,2016,Reivilo Thaung,number of transactions,21
district,DC4,2016,Riversdal Hessequa,number of transactions,46
district,DC2,2016,Robertson Breede /Winelands,number of transactions,13
district,DC36,2016,Roedtan Bela-Bela (Warmbad),number of transactions,24
district,DC16,2016,Rouxville Mohokare,number of transactions,11
district,DC19,2016,Senekal Setsoto,number of transactions,24
district,DC16,2016,Smithfield Mohkare,number of transactions,2
district,DC35,2016,Soekmekaar Morebeng (Tzaneen),number of transactions,68
district,DC10,2016,Somerset-Oos Blue Crane,number of transactions,15
district,DC27,2016,St Lucia Mtubatuba,number of transactions,4
district,DC2,2016,Stellenbosch,number of transactions,14
district,DC14,2016,Steynsburg Gariep,number of transactions,4
district,DC10,2016,Steytlerville Dr Beyers Naude,number of transactions,3
district,DC12,2016,Stutterheim Amahlathi,number of transactions,5
district,DC6,2016,Sutherland,number of transactions,9
district,DC3,2016,Swellendam,number of transactions,24
district,DC13,2016,Tarkastad Tsolwana,number of transactions,17
municipality,MAN,2016,Thaba Nchu,number of transactions,10
district,DC36,2016,Thabazimbi,number of transactions,53
district,DC18,2016,Theunissen Masilonyana,number of transactions,21
district,DC2,2016,Tulbagh,number of transactions,8
municipality,NMA,2016,Uitenhage Nelson Mandela Metro,number of transactions,34
district,DC26,2016,Ulundi,number of transactions,12
district,DC43,2016,Underberg KwaSani,number of transactions,40
district,DC44,2016,Uniondale,number of transactions,12
district,DC35,2016,Usutu,number of transactions,5
district,DC25,2016,Utrecht eMadlangeni,number of transactions,43
district,DC9,2016,Vaalharts Phokwane,number of transactions,28
district,DC1,2016,Vanrynsdorp Matzikama,number of transactions,17
district,DC18,2016,Ventersburg Matjhabeng,number of transactions,11
district,DC7,2016,Victoria-Wes Umbuntu,number of transactions,3
district,DC20,2016,Viljoenskroon Moqhaka,number of transactions,9
municipality,DC40,2016,Vostershoop,number of transactions,1
district,DC19,2016,Vrede Phumelela,number of transactions,34
district,DC20,2016,Vredefort Ngwathe,number of transactions,14
district,DC39,2016,Vryburg Naledi,number of transactions,36
municipality,MAN,2016,Wepener Naledi,number of transactions,10
district,DC18,2016,Wesselsbron Nala,number of transactions,5
district,DC10,2016,Willomore Baviaans,number of transactions,5
district,DC18,2016,Winburg Masilonyana,number of transactions,12
district,DC14,2016,Wodehouse,number of transactions,12
district,DC40,2016,Wolmaransstad Maquassi,number of transactions,22
district,DC2,2016,Worcester Breede Valley,number of transactions,23
district,DC16,2016,Zastron Mohokare,number of transactions,10
district,DC38,2016,Zeerust Ramotshere,number of transactions,79
district,DC10,2016,Aberdeen,total hectare traded,2046
district,DC32,2016,Acornhoek Bushbuckridge,total hectare traded,2121
district,DC10,2016,Albany,total hectare traded,6005
district,DC4,2016,Albertinia HesseQua,total hectare traded,2494
district,DC10,2016,Alexandria Ndlambe,total hectare traded,4727
district,DC14,2016,Aliwal-Noord Maletsiwai,total hectare traded,9257
district,DC35,2016,Alldays Blouberg,total hectare traded,24012
district,DC30,2016,Amsterdam Mkhondo,total hectare traded,17268
district,DC29,2016,Ballito KwaDukuza,total hectare traded,3780
district,DC9,2016,Barkley-Wes Dikgatlong,total hectare traded,18622
district,DC14,2016,Barkly-Oos Senqu,total hectare traded,7774
district,DC10,2016,Bathurst Ndlambe,total hectare traded,2949
district,DC5,2016,Beaufort-Wes,total hectare traded,44242
district,DC12,2016,Bedford Amathole,total hectare traded,9926
district,DC30,2016,Bethal Gonovan Mbeki,total hectare traded,25902
district,DC19,2016,Bethlehem Dihlabeng,total hectare traded,6433
district,DC16,2016,Bethulie,total hectare traded,2321
