geo_level, geo_code, geo_version, month, statistic, total
country,ZA,2016,all,Dec2017,385
country,ZA,2016,colour,Dec2017,64
country,ZA,2016,all,Jan2018,266
country,ZA,2016,colour,Jan2018,47
country,ZA,2016,all,Feb2018,370
country,ZA,2016,colour,Feb2018,67
country,ZA,2016,all,Mar2018,417
country,ZA,2016,colour,Mar2018,107
country,ZA,2016,all,Apr2018,316
country,ZA,2016,colour,Apr2018,67
country,ZA,2016,all,May2018,384
country,ZA,2016,colour,May2018,77
country,ZA,2016,all,Jun2018,344
country,ZA,2016,colour,Jun2018,57
country,ZA,2016,all,Jul2018,281
country,ZA,2016,colour,Jul2018,72
country,ZA,2016,all,Aug2018,304
country,ZA,2016,colour,Aug2018,65
country,ZA,2016,all,Sep2018,292
country,ZA,2016,colour,Sep2018,51
country,ZA,2016,all,Oct2018,460
country,ZA,2016,colour,Oct2018,97
country,ZA,2016,all,Nov2018,323
country,ZA,2016,colour,Nov2018,56
province,EC,2016,all,Dec2017,19
province,EC,2016,colour,Dec2017,5
province,EC,2016,all,Jan2018,19
province,EC,2016,colour,Jan2018,1
province,EC,2016,all,Feb2018,24
province,EC,2016,colour,Feb2018,4
province,EC,2016,all,Mar2018,32
province,EC,2016,colour,Mar2018,7
province,EC,2016,all,Apr2018,32
province,EC,2016,colour,Apr2018,6
province,EC,2016,all,May2018,19
province,EC,2016,colour,May2018,3
province,EC,2016,all,Jun2018,32
province,EC,2016,colour,Jun2018,5
province,EC,2016,all,Jul2018,42
province,EC,2016,colour,Jul2018,13
province,EC,2016,all,Aug2018,35
province,EC,2016,colour,Aug2018,6
province,EC,2016,all,Sep2018,34
province,EC,2016,colour,Sep2018,6
province,EC,2016,all,Oct2018,40
province,EC,2016,colour,Oct2018,4
province,EC,2016,all,Nov2018,30
province,EC,2016,colour,Nov2018,6
province,FS,2016,all,Dec2017,52
province,FS,2016,colour,Dec2017,5
province,FS,2016,all,Jan2018,44
province,FS,2016,colour,Jan2018,3
province,FS,2016,all,Feb2018,70
province,FS,2016,colour,Feb2018,7
province,FS,2016,all,Mar2018,75
province,FS,2016,colour,Mar2018,13
province,FS,2016,all,Apr2018,40
province,FS,2016,colour,Apr2018,5
province,FS,2016,all,May2018,65
province,FS,2016,colour,May2018,11
province,FS,2016,all,Jun2018,36
province,FS,2016,colour,Jun2018,7
province,FS,2016,all,Jul2018,45
province,FS,2016,colour,Jul2018,10
province,FS,2016,all,Aug2018,42
province,FS,2016,colour,Aug2018,5
province,FS,2016,all,Sep2018,51
province,FS,2016,colour,Sep2018,5
province,FS,2016,all,Oct2018,60
province,FS,2016,colour,Oct2018,11
province,FS,2016,all,Nov2018,50
province,FS,2016,colour,Nov2018,4
province,GT,2016,all,Dec2017,36
province,GT,2016,colour,Dec2017,7
province,GT,2016,all,Jan2018,28
province,GT,2016,colour,Jan2018,5
province,GT,2016,all,Feb2018,51
province,GT,2016,colour,Feb2018,6
province,GT,2016,all,Mar2018,43
province,GT,2016,colour,Mar2018,13
province,GT,2016,all,Apr2018,38
province,GT,2016,colour,Apr2018,9
province,GT,2016,all,May2018,38
province,GT,2016,colour,May2018,10
province,GT,2016,all,Jun2018,37
province,GT,2016,colour,Jun2018,12
province,GT,2016,all,Jul2018,32
province,GT,2016,colour,Jul2018,10
province,GT,2016,all,Aug2018,32
province,GT,2016,colour,Aug2018,7
province,GT,2016,all,Sep2018,32
province,GT,2016,colour,Sep2018,8
province,GT,2016,all,Oct2018,67
province,GT,2016,colour,Oct2018,21
province,GT,2016,all,Nov2018,38
province,GT,2016,colour,Nov2018,11
province,KZN,2016,all,Dec2017,35
province,KZN,2016,colour,Dec2017,10
province,KZN,2016,all,Jan2018,19
province,KZN,2016,colour,Jan2018,6
province,KZN,2016,all,Feb2018,12
province,KZN,2016,colour,Feb2018,8
province,KZN,2016,all,Mar2018,50
province,KZN,2016,colour,Mar2018,27
province,KZN,2016,all,Apr2018,30
province,KZN,2016,colour,Apr2018,9
province,KZN,2016,all,May2018,37
province,KZN,2016,colour,May2018,15
province,KZN,2016,all,Jun2018,32
province,KZN,2016,colour,Jun2018,4
province,KZN,2016,all,Jul2018,25
province,KZN,2016,colour,Jul2018,10
province,KZN,2016,all,Aug2018,24
province,KZN,2016,colour,Aug2018,7
province,KZN,2016,all,Sep2018,33
province,KZN,2016,colour,Sep2018,4
province,KZN,2016,all,Oct2018,40
province,KZN,2016,colour,Oct2018,13
province,KZN,2016,all,Nov2018,19
province,KZN,2016,colour,Nov2018,11
province,LIM,2016,all,Dec2017,52
province,LIM,2016,colour,Dec2017,8
province,LIM,2016,all,Jan2018,28
province,LIM,2016,colour,Jan2018,7
province,LIM,2016,all,Feb2018,44
province,LIM,2016,colour,Feb2018,11
province,LIM,2016,all,Mar2018,45
province,LIM,2016,colour,Mar2018,12
province,LIM,2016,all,Apr2018,36
province,LIM,2016,colour,Apr2018,8
province,LIM,2016,all,May2018,49
province,LIM,2016,colour,May2018,15
province,LIM,2016,all,Jun2018,36
province,LIM,2016,colour,Jun2018,5
province,LIM,2016,all,Jul2018,35
province,LIM,2016,colour,Jul2018,9
province,LIM,2016,all,Aug2018,38
province,LIM,2016,colour,Aug2018,8
province,LIM,2016,all,Sep2018,24
province,LIM,2016,colour,Sep2018,3
province,LIM,2016,all,Oct2018,66
province,LIM,2016,colour,Oct2018,11
province,LIM,2016,all,Nov2018,39
province,LIM,2016,colour,Nov2018,9
province,MP,2016,all,Dec2017,36
province,MP,2016,colour,Dec2017,6
province,MP,2016,all,Jan2018,27
province,MP,2016,colour,Jan2018,8
province,MP,2016,all,Feb2018,58
province,MP,2016,colour,Feb2018,13
province,MP,2016,all,Mar2018,30
province,MP,2016,colour,Mar2018,11
province,MP,2016,all,Apr2018,27
province,MP,2016,colour,Apr2018,8
province,MP,2016,all,May2018,48
province,MP,2016,colour,May2018,7
