,geography,satisfaction_with_democracy,total
0,Central Uganda,Do not know,148
1,Central Uganda,Fairly satisfied,189
2,Central Uganda,Not at all satisfied,76
3,Central Uganda,Not very satisfied,177
4,Central Uganda,The country is not a democracy,12
5,Central Uganda,Very satisfied,62
6,Eastern Uganda,Do not know,190
7,Eastern Uganda,Fairly satisfied,199
8,Eastern Uganda,Not at all satisfied,49
9,Eastern Uganda,Not very satisfied,103
10,Eastern Uganda,The country is not a democracy,11
11,Eastern Uganda,Very satisfied,72
12,Northern Uganda,Do not know,133
13,Northern Uganda,Fairly satisfied,190
14,Northern Uganda,Not at all satisfied,35
15,Northern Uganda,Not very satisfied,69
16,Northern Uganda,The country is not a democracy,5
17,Northern Uganda,Very satisfied,72
18,Western Uganda,Do not know,69
19,Western Uganda,Fairly satisfied,258
20,Western Uganda,Not at all satisfied,20
21,Western Uganda,Not very satisfied,91
22,Western Uganda,The country is not a democracy,5
23,Western Uganda,Very satisfied,165
24,Uganda,The country is not a democracy,33
25,Uganda,Not very satisfied,440
26,Uganda,Do not know,540
27,Uganda,Fairly satisfied,836
28,Uganda,Not at all satisfied,180
29,Uganda,Very satisfied,371
