,geography,chinas_assistance_does_a_good_job_at_meeting_countrys_needs,total
0,Central Uganda,China doesn't give development assistance to the country,7
1,Central Uganda,Don't know / Haven't heard enough,122
2,Central Uganda,Neither good nor bad job,30
3,Central Uganda,Somewhat bad job,95
4,Central Uganda,Somewhat good job,240
5,Central Uganda,Very bad job,38
6,Central Uganda,Very good job,132
7,Eastern Uganda,China doesn't give development assistance to the country,2
8,Eastern Uganda,Don't know / Haven't heard enough,217
9,Eastern Uganda,Neither good nor bad job,32
10,Eastern Uganda,Somewhat bad job,69
11,Eastern Uganda,Somewhat good job,187
12,Eastern Uganda,Very bad job,24
13,Eastern Uganda,Very good job,93
14,Northern Uganda,China doesn't give development assistance to the country,3
15,Northern Uganda,Don't know / Haven't heard enough,178
16,Northern Uganda,Neither good nor bad job,21
17,Northern Uganda,Somewhat bad job,48
18,Northern Uganda,Somewhat good job,150
19,Northern Uganda,Very bad job,25
20,Northern Uganda,Very good job,79
21,Western Uganda,China doesn't give development assistance to the country,4
22,Western Uganda,Don't know / Haven't heard enough,209
23,Western Uganda,Neither good nor bad job,33
24,Western Uganda,Somewhat bad job,49
25,Western Uganda,Somewhat good job,187
26,Western Uganda,Very bad job,31
27,Western Uganda,Very good job,95
28,Uganda,Very bad job,118
29,Uganda,Don't know / Haven't heard enough,726
30,Uganda,Somewhat bad job,261
31,Uganda,Very good job,399
32,Uganda,Somewhat good job,764
33,Uganda,Neither good nor bad job,116
34,Uganda,China doesn't give development assistance to the country,16
