,geography,people_must_obey_the_law,total
0,Central Uganda,Agree,301
1,Central Uganda,Disagree,70
2,Central Uganda,Don't Know,12
3,Central Uganda,Neither Agree Nor Disagree,8
4,Central Uganda,Strongly Agree,244
5,Central Uganda,Strongly Disagree,29
6,Eastern Uganda,Agree,293
7,Eastern Uganda,Disagree,37
8,Eastern Uganda,Don't Know,6
9,Eastern Uganda,Neither Agree Nor Disagree,15
10,Eastern Uganda,Strongly Agree,210
11,Eastern Uganda,Strongly Disagree,63
12,Northern Uganda,Agree,229
13,Northern Uganda,Disagree,38
14,Northern Uganda,Don't Know,5
15,Northern Uganda,Neither Agree Nor Disagree,11
16,Northern Uganda,Strongly Agree,185
17,Northern Uganda,Strongly Disagree,36
18,Western Uganda,Agree,240
19,Western Uganda,Disagree,31
20,Western Uganda,Don't Know,12
21,Western Uganda,Neither Agree Nor Disagree,11
22,Western Uganda,Strongly Agree,301
23,Western Uganda,Strongly Disagree,13
24,Uganda,Neither Agree Nor Disagree,45
25,Uganda,Disagree,176
26,Uganda,Strongly Agree,940
27,Uganda,Agree,1063
28,Uganda,Strongly Disagree,141
29,Uganda,Don't Know,35
