,geography,extent_of_democracy,total
0,Central Uganda,"A democracy, but with minor problems",217
1,Central Uganda,"A democracy, with major problems",177
2,Central Uganda,A full democracy,65
3,Central Uganda,Do not understand question / democracy,46
4,Central Uganda,Don't know,109
5,Central Uganda,Not a democracy,50
6,Eastern Uganda,"A democracy, but with minor problems",209
7,Eastern Uganda,"A democracy, with major problems",99
8,Eastern Uganda,A full democracy,80
9,Eastern Uganda,Do not understand question / democracy,64
10,Eastern Uganda,Don't know,142
11,Eastern Uganda,Not a democracy,30
12,Northern Uganda,"A democracy, but with minor problems",177
13,Northern Uganda,"A democracy, with major problems",100
14,Northern Uganda,A full democracy,51
15,Northern Uganda,Do not understand question / democracy,36
16,Northern Uganda,Don't know,116
17,Northern Uganda,Not a democracy,24
18,Western Uganda,"A democracy, but with minor problems",282
19,Western Uganda,"A democracy, with major problems",74
20,Western Uganda,A full democracy,157
21,Western Uganda,Do not understand question / democracy,12
22,Western Uganda,Don't know,71
23,Western Uganda,Not a democracy,12
24,Uganda,"A democracy, but with minor problems",885
25,Uganda,Not a democracy,116
26,Uganda,Do not understand question / democracy,158
27,Uganda,"A democracy, with major problems",450
28,Uganda,Don't know,438
29,Uganda,A full democracy,353
