,geography,people_must_pay_taxes,total
0,Central Uganda,Agree,298
1,Central Uganda,Disagree,88
2,Central Uganda,Don't Know,28
3,Central Uganda,Neither Agree Nor Disagree,21
4,Central Uganda,Strongly Agree,203
5,Central Uganda,Strongly Disagree,26
6,Eastern Uganda,Agree,277
7,Eastern Uganda,Disagree,48
8,Eastern Uganda,Don't Know,15
9,Eastern Uganda,Neither Agree Nor Disagree,18
10,Eastern Uganda,Strongly Agree,199
11,Eastern Uganda,Strongly Disagree,67
12,Northern Uganda,Agree,170
13,Northern Uganda,Disagree,62
14,Northern Uganda,Don't Know,14
15,Northern Uganda,Neither Agree Nor Disagree,30
16,Northern Uganda,Strongly Agree,101
17,Northern Uganda,Strongly Disagree,127
18,Western Uganda,Agree,237
19,Western Uganda,Disagree,38
20,Western Uganda,Don't Know,34
21,Western Uganda,Neither Agree Nor Disagree,34
22,Western Uganda,Strongly Agree,211
23,Western Uganda,Strongly Disagree,54
24,Uganda,Neither Agree Nor Disagree,103
25,Uganda,Disagree,236
26,Uganda,Strongly Agree,714
27,Uganda,Agree,982
28,Uganda,Strongly Disagree,274
29,Uganda,Don't Know,91
