,geography,chinas_influence_on_economy,total
0,Central Uganda,A little,70
1,Central Uganda,A lot,287
2,Central Uganda,Don't know / Haven't heard enough,120
3,Central Uganda,None,11
4,Central Uganda,Some,176
5,Eastern Uganda,A little,83
6,Eastern Uganda,A lot,193
7,Eastern Uganda,Don't know / Haven't heard enough,207
8,Eastern Uganda,None,14
9,Eastern Uganda,Some,127
10,Northern Uganda,A little,83
11,Northern Uganda,A lot,108
12,Northern Uganda,Don't know / Haven't heard enough,190
13,Northern Uganda,None,8
14,Northern Uganda,Some,115
15,Western Uganda,A little,46
16,Western Uganda,A lot,208
17,Western Uganda,Don't know / Haven't heard enough,224
18,Western Uganda,None,11
19,Western Uganda,Some,119
20,Uganda,A lot,796
21,Uganda,Don't know / Haven't heard enough,741
22,Uganda,Some,537
23,Uganda,None,44
24,Uganda,A little,282
