,geography,employer_of_respondent,total
0,Central Uganda,Don't know,1
1,Central Uganda,Government,17
3,Central Uganda,Non Governmental Organizations/ civil society sector,6
4,Central Uganda,Not applicable,108
5,Central Uganda,Private sector,70
6,Central Uganda,Works for  self,440
7,Eastern Uganda,Government,17
9,Eastern Uganda,Non Governmental Organizations/ civil society sector,7
10,Eastern Uganda,Not applicable,169
11,Eastern Uganda,Private sector,45
12,Eastern Uganda,Works for  self,364
13,Northern Uganda,Don't know,1
14,Northern Uganda,Government,11
16,Northern Uganda,Non Governmental Organizations/ civil society sector,4
17,Northern Uganda,Not applicable,95
18,Northern Uganda,Private sector,21
19,Northern Uganda,Works for  self,350
20,Western Uganda,Government,17
22,Western Uganda,Non Governmental Organizations/ civil society sector,2
23,Western Uganda,Not applicable,61
24,Western Uganda,Private sector,45
25,Western Uganda,Works for  self,471
27,Uganda,Government,62
28,Uganda,Private sector,181
29,Uganda,Works for  self,1625
30,Uganda,Non Governmental Organizations/ civil society sector,19
31,Uganda,Not applicable,433
32,Uganda,Don't know,2
