geography,corruption_tax_officials,total
Central,All of them,15
Central,Don't know/ Haven't heard enough,35
Central,Most of them,20
Central,None,14
Central,Some of them,36
Copperbelt,All of them,40
Copperbelt,Don't know/ Haven't heard enough,8
Copperbelt,Most of them,45
Copperbelt,None,13
Copperbelt,Some of them,86
Eastern,All of them,5
Eastern,Don't know/ Haven't heard enough,25
Eastern,Most of them,29
Eastern,None,13
Eastern,Some of them,64
Luapula,All of them,3
Luapula,Don't know/ Haven't heard enough,7
Luapula,Most of them,19
Luapula,None,13
Luapula,Some of them,45
Lusaka,All of them,18
Lusaka,Don't know/ Haven't heard enough,23
Lusaka,Most of them,61
Lusaka,None,17
Lusaka,Some of them,105
Muchinga,All of them,11
Muchinga,Don't know/ Haven't heard enough,10
Muchinga,Most of them,16
Muchinga,None,7
Muchinga,Some of them,20
North-Western,All of them,2
North-Western,Don't know/ Haven't heard enough,4
North-Western,Most of them,8
North-Western,None,5
North-Western,Some of them,45
Northern,All of them,18
Northern,Don't know/ Haven't heard enough,18
Northern,Most of them,17
Northern,None,16
Northern,Some of them,27
Southern,All of them,8
Southern,Don't know/ Haven't heard enough,3
Southern,Most of them,24
Southern,None,10
Southern,Some of them,91
Western,All of them,2
Western,Don't know/ Haven't heard enough,21
Western,Most of them,16
Western,None,15
Western,Some of them,26
Zambia,None,123
Zambia,All of them,122
Zambia,Most of them,255
Zambia,Don't know/ Haven't heard enough,154
Zambia,Some of them,545
