geography,education_of_respondent,total
Central,Informal schooling only,1
Central,No formal schooling,5
Central,"Post-secondary qualifications, other than university",11
Central,Primary school completed,22
Central,Secondary school / high school completed,30
Central,Some primary schooling,20
Central,Some secondary school / high school,29
Central,University completed,2
Copperbelt,No formal schooling,10
Copperbelt,"Post-secondary qualifications, other than university",19
Copperbelt,Primary school completed,35
Copperbelt,Secondary school / high school completed,40
Copperbelt,Some primary schooling,20
Copperbelt,Some secondary school / high school,58
Copperbelt,Some university,7
Copperbelt,University completed,3
Eastern,Informal schooling only,2
Eastern,No formal schooling,23
Eastern,Post-graduate,1
Eastern,"Post-secondary qualifications, other than university",4
Eastern,Primary school completed,16
Eastern,Secondary school / high school completed,11
Eastern,Some primary schooling,51
Eastern,Some secondary school / high school,23
Eastern,Some university,1
Eastern,University completed,4
Luapula,No formal schooling,6
Luapula,"Post-secondary qualifications, other than university",8
Luapula,Primary school completed,8
Luapula,Secondary school / high school completed,15
Luapula,Some primary schooling,14
Luapula,Some secondary school / high school,35
Lusaka,Informal schooling only,1
Lusaka,No formal schooling,7
Lusaka,Post-graduate,1
Lusaka,"Post-secondary qualifications, other than university",29
Lusaka,Primary school completed,38
Lusaka,Secondary school / high school completed,54
Lusaka,Some primary schooling,22
Lusaka,Some secondary school / high school,61
Lusaka,Some university,6
Lusaka,University completed,4
Muchinga,Informal schooling only,1
Muchinga,No formal schooling,6
Muchinga,"Post-secondary qualifications, other than university",5
Muchinga,Primary school completed,13
Muchinga,Secondary school / high school completed,14
Muchinga,Some primary schooling,10
Muchinga,Some secondary school / high school,14
Muchinga,Some university,1
North-Western,No formal schooling,12
North-Western,"Post-secondary qualifications, other than university",7
North-Western,Primary school completed,10
North-Western,Secondary school / high school completed,8
North-Western,Some primary schooling,16
North-Western,Some secondary school / high school,11
Northern,Informal schooling only,2
Northern,No formal schooling,14
Northern,"Post-secondary qualifications, other than university",6
Northern,Primary school completed,18
Northern,Secondary school / high school completed,3
Northern,Some primary schooling,29
Northern,Some secondary school / high school,23
Northern,Some university,1
Southern,No formal schooling,3
Southern,"Post-secondary qualifications, other than university",16
Southern,Primary school completed,36
Southern,Secondary school / high school completed,17
Southern,Some primary schooling,20
Southern,Some secondary school / high school,40
Southern,Some university,1
Southern,University completed,1
Western,Informal schooling only,2
Western,No formal schooling,5
Western,"Post-secondary qualifications, other than university",18
Western,Primary school completed,10
Western,Secondary school / high school completed,12
Western,Some primary schooling,13
Western,Some secondary school / high school,18
Western,University completed,2
Zambia,Some secondary school / high school,312
Zambia,Some primary schooling,215
Zambia,No formal schooling,91
Zambia,University completed,16
Zambia,Informal schooling only,9
Zambia,Some university,17
Zambia,"Post-secondary qualifications, other than university",123
Zambia,Post-graduate,2
Zambia,Primary school completed,206
Zambia,Secondary school / high school completed,204
