geography,main_reason_for_not_reporting_corruption,total
Central,Corruption is normal / Everyone does it,7
Central,Corruption is too difficult to prove,12
Central,Don't know,5
Central,"It's government's money, so it's not our problem",1
Central,It's too expensive to report,2
Central,Most people do report incidents of corruption,1
Central,Nothing will be done / It wouldn't make a difference,17
Central,Other,2
Central,People are afraid of the consequences,40
Central,People don't have enough time to report it,2
Central,People don't know how to report it,1
Central,People don't know where to report it,13
Central,The officials where they would report to are also corrupt,11
Central,They would implicate themselves as bribe-givers,6
Copperbelt,Corruption is normal / Everyone does it,14
Copperbelt,Corruption is too difficult to prove,8
Copperbelt,Don't know,5
Copperbelt,It's too expensive to report,4
Copperbelt,Most people do report incidents of corruption,1
Copperbelt,Nothing will be done / It wouldn't make a difference,30
Copperbelt,Other,3
Copperbelt,People are afraid of the consequences,56
Copperbelt,People don't have enough time to report it,5
Copperbelt,People don't know how to report it,8
Copperbelt,People don't know where to report it,19
Copperbelt,The officials where they would report to are also corrupt,32
Copperbelt,They would implicate themselves as bribe-givers,7
Eastern,Corruption is normal / Everyone does it,8
Eastern,Corruption is too difficult to prove,5
Eastern,Don't know,10
Eastern,It's too expensive to report,3
Eastern,Most people do report incidents of corruption,4
Eastern,Nothing will be done / It wouldn't make a difference,19
Eastern,Other,2
Eastern,People are afraid of the consequences,68
Eastern,People don't know how to report it,2
Eastern,People don't know where to report it,10
Eastern,The officials where they would report to are also corrupt,3
Eastern,They would implicate themselves as bribe-givers,2
Luapula,Corruption is normal / Everyone does it,3
Luapula,Corruption is too difficult to prove,1
Luapula,Don't know,5
Luapula,It's too expensive to report,1
Luapula,Most people do report incidents of corruption,1
Luapula,Nothing will be done / It wouldn't make a difference,11
Luapula,Other,5
Luapula,People are afraid of the consequences,44
Luapula,People don't have enough time to report it,3
Luapula,People don't know how to report it,3
Luapula,People don't know where to report it,5
Luapula,The officials where they would report to are also corrupt,3
Luapula,They would implicate themselves as bribe-givers,2
Lusaka,Corruption is normal / Everyone does it,8
Lusaka,Corruption is too difficult to prove,7
Lusaka,Don't know,15
Lusaka,It's too expensive to report,5
Lusaka,Most people do report incidents of corruption,12
Lusaka,Nothing will be done / It wouldn't make a difference,45
Lusaka,Other,7
Lusaka,People are afraid of the consequences,60
Lusaka,People don't have enough time to report it,8
Lusaka,People don't know how to report it,16
Lusaka,People don't know where to report it,25
Lusaka,The officials where they would report to are also corrupt,11
Lusaka,They would implicate themselves as bribe-givers,5
Muchinga,Corruption is normal / Everyone does it,6
Muchinga,Corruption is too difficult to prove,4
Muchinga,Don't know,6
Muchinga,It's too expensive to report,2
Muchinga,Nothing will be done / It wouldn't make a difference,8
Muchinga,Other,2
Muchinga,People are afraid of the consequences,22
Muchinga,People don't know how to report it,2
Muchinga,People don't know where to report it,5
Muchinga,The officials where they would report to are also corrupt,4
Muchinga,They would implicate themselves as bribe-givers,3
North-Western,Corruption is normal / Everyone does it,2
North-Western,Corruption is too difficult to prove,1
North-Western,Don't know,2
North-Western,Nothing will be done / It wouldn't make a difference,11
North-Western,Other,6
North-Western,People are afraid of the consequences,16
North-Western,People don't have enough time to report it,6
North-Western,People don't know how to report it,3
North-Western,People don't know where to report it,8
North-Western,The officials where they would report to are also corrupt,8
North-Western,They would implicate themselves as bribe-givers,1
Northern,Corruption is too difficult to prove,3
Northern,Don't know,11
Northern,It's too expensive to report,7
Northern,Most people do report incidents of corruption,1
Northern,Nothing will be done / It wouldn't make a difference,11
Northern,Other,6
Northern,People are afraid of the consequences,40
Northern,People don't know how to report it,4
Northern,People don't know where to report it,10
Northern,The officials where they would report to are also corrupt,1
Northern,They would implicate themselves as bribe-givers,2
Southern,Corruption is normal / Everyone does it,7
Southern,Corruption is too difficult to prove,3
Southern,Don't know,8
Southern,"It's government's money, so it's not our problem",1
Southern,It's too expensive to report,5
Southern,Most people do report incidents of corruption,1
Southern,Nothing will be done / It wouldn't make a difference,15
Southern,Other,1
Southern,People are afraid of the consequences,55
Southern,People don't have enough time to report it,5
Southern,People don't know how to report it,7
Southern,People don't know where to report it,18
Southern,The officials where they would report to are also corrupt,4
Southern,They would implicate themselves as bribe-givers,6
Western,Corruption is normal / Everyone does it,1
Western,Corruption is too difficult to prove,5
Western,Don't know,6
Western,It's too expensive to report,5
Western,Nothing will be done / It wouldn't make a difference,18
Western,Other,3
Western,People are afraid of the consequences,11
Western,People don't have enough time to report it,1
Western,People don't know how to report it,6
Western,People don't know where to report it,11
Western,The officials where they would report to are also corrupt,7
Western,They would implicate themselves as bribe-givers,6
Zambia,People are afraid of the consequences,412
Zambia,"It's government's money, so it's not our problem",2
Zambia,They would implicate themselves as bribe-givers,40
Zambia,Corruption is too difficult to prove,49
Zambia,The officials where they would report to are also corrupt,84
Zambia,Most people do report incidents of corruption,21
Zambia,Nothing will be done / It wouldn't make a difference,185
Zambia,People don't know where to report it,124
Zambia,It's too expensive to report,34
Zambia,People don't have enough time to report it,30
Zambia,Corruption is normal / Everyone does it,56
Zambia,Other,37
Zambia,Don't know,73
Zambia,People don't know how to report it,52
