geography,own_motor_vehicle,total
Central,"No, don't own",103
Central,"Yes, do own",15
Copperbelt,"No, don't own",169
Copperbelt,"Yes, do own",23
Eastern,Don't know,1
Eastern,"No, don't own",117
Eastern,"Yes, do own",18
Luapula,"No, don't own",81
Luapula,"Yes, do own",5
Lusaka,Don't know,7
Lusaka,"No, don't own",178
Lusaka,"Yes, do own",38
Muchinga,"No, don't own",54
Muchinga,"Yes, do own",9
North-Western,"No, don't own",57
North-Western,"Yes, do own",7
Northern,"No, don't own",71
Northern,"Yes, do own",25
Southern,Don't know,1
Southern,"No, don't own",114
Southern,"Yes, do own",21
Western,"No, don't own",66
Western,"Yes, do own",14
Zambia,"Yes, do own",175
Zambia,"No, don't own",1010
Zambia,Don't know,9
