geography,voting_in_the_most_recent_national_election,total
Central,Did not vote for some other reason,3
Central,You could not find the polling station,6
Central,You decided not to vote,18
Central,You did not have time to vote,4
Central,You did not vote because your name not in the register,2
Central,You voted in the elections,67
Central,You were not registered to vote,12
Central,You were prevented from voting,2
Central,You were too young to vote,6
Copperbelt,Did not vote for some other reason,16
Copperbelt,Don't Know / Can't remember,2
Copperbelt,You decided not to vote,20
Copperbelt,You did not have time to vote,6
Copperbelt,You did not vote because your name not in the register,2
Copperbelt,You voted in the elections,105
Copperbelt,You were not registered to vote,12
Copperbelt,You were too young to vote,29
Eastern,Did not vote for some other reason,15
Eastern,You could not find the polling station,1
Eastern,You decided not to vote,4
Eastern,You did not have time to vote,2
Eastern,You did not vote because your name not in the register,2
Eastern,You voted in the elections,95
Eastern,You were not registered to vote,11
Eastern,You were too young to vote,6
Luapula,Did not vote for some other reason,6
Luapula,You could not find the polling station,1
Luapula,You decided not to vote,2
Luapula,You voted in the elections,49
Luapula,You were not registered to vote,15
Luapula,You were too young to vote,14
Lusaka,Did not vote for some other reason,16
Lusaka,Don't Know / Can't remember,3
Lusaka,You could not find the polling station,1
Lusaka,You decided not to vote,14
Lusaka,You did not have time to vote,11
Lusaka,You did not vote because your name not in the register,3
Lusaka,You voted in the elections,110
Lusaka,You were not registered to vote,32
Lusaka,You were prevented from voting,2
Lusaka,You were too young to vote,32
Muchinga,Did not vote for some other reason,3
Muchinga,You could not find the polling station,2
Muchinga,You decided not to vote,7
Muchinga,You did not have time to vote,1
Muchinga,You did not vote because your name not in the register,1
Muchinga,You voted in the elections,39
Muchinga,You were not registered to vote,4
Muchinga,You were too young to vote,7
North-Western,Did not vote for some other reason,9
North-Western,You could not find the polling station,1
North-Western,You decided not to vote,2
North-Western,You did not have time to vote,1
North-Western,You did not vote because your name not in the register,1
North-Western,You voted in the elections,47
North-Western,You were too young to vote,3
Northern,Did not vote for some other reason,8
Northern,You decided not to vote,6
Northern,You did not have time to vote,2
Northern,You voted in the elections,66
Northern,You were not registered to vote,5
Northern,You were prevented from voting,2
Northern,You were too young to vote,7
Southern,Did not vote for some other reason,5
Southern,Don't Know / Can't remember,1
Southern,You could not find the polling station,1
Southern,You decided not to vote,14
Southern,You did not have time to vote,4
Southern,You did not vote because your name not in the register,1
Southern,You voted in the elections,84
Southern,You were not registered to vote,18
Southern,You were too young to vote,8
Western,Did not vote for some other reason,5
Western,You could not find the polling station,1
Western,You decided not to vote,3
Western,You did not have time to vote,4
Western,You voted in the elections,61
Western,You were not registered to vote,4
Western,You were too young to vote,2
Zambia,You decided not to vote,90
Zambia,You could not find the polling station,14
Zambia,You did not have time to vote,35
Zambia,You voted in the elections,723
Zambia,Don't Know / Can't remember,6
Zambia,Did not vote for some other reason,86
Zambia,You did not vote because your name not in the register,12
Zambia,You were prevented from voting,6
Zambia,You were not registered to vote,113
Zambia,You were too young to vote,114
