geography,elections_ensure_voters_views_are_reflected,total
Central,Don't know,11
Central,Not at all well,24
Central,Not very well,43
Central,Very well,27
Central,Well,15
Copperbelt,Don't know,19
Copperbelt,Not at all well,42
Copperbelt,Not very well,69
Copperbelt,Very well,16
Copperbelt,Well,46
Eastern,Don't know,34
Eastern,Not at all well,8
Eastern,Not very well,30
Eastern,Very well,17
Eastern,Well,47
Luapula,Don't know,3
Luapula,Not at all well,9
Luapula,Not very well,26
Luapula,Very well,24
Luapula,Well,25
Lusaka,Don't know,26
Lusaka,Not at all well,19
Lusaka,Not very well,80
Lusaka,Very well,37
Lusaka,Well,62
Muchinga,Don't know,12
Muchinga,Not at all well,3
Muchinga,Not very well,11
Muchinga,Very well,25
Muchinga,Well,12
North-Western,Don't know,4
North-Western,Not at all well,3
North-Western,Not very well,9
North-Western,Very well,9
North-Western,Well,39
Northern,Don't know,6
Northern,Not at all well,4
Northern,Not very well,18
Northern,Very well,44
Northern,Well,24
Southern,Don't know,3
Southern,Not at all well,13
Southern,Not very well,29
Southern,Very well,19
Southern,Well,72
Western,Don't know,6
Western,Not at all well,6
Western,Not very well,41
Western,Very well,18
Western,Well,9
Zambia,Not very well,356
Zambia,Well,351
Zambia,Don't know,124
Zambia,Not at all well,131
Zambia,Very well,236
