geography,corruption_office_of_the_presidency,total
Central,All of them,15
Central,Don't know/ Haven't heard enough,10
Central,Most of them,21
Central,None,18
Central,Some of them,56
Copperbelt,All of them,32
Copperbelt,Don't know/ Haven't heard enough,2
Copperbelt,Most of them,41
Copperbelt,None,7
Copperbelt,Some of them,110
Eastern,All of them,9
Eastern,Don't know/ Haven't heard enough,7
Eastern,Most of them,19
Eastern,None,16
Eastern,Some of them,85
Luapula,All of them,2
Luapula,Don't know/ Haven't heard enough,3
Luapula,Most of them,11
Luapula,None,20
Luapula,Some of them,51
Lusaka,All of them,14
Lusaka,Don't know/ Haven't heard enough,25
Lusaka,Most of them,41
Lusaka,None,29
Lusaka,Some of them,115
Muchinga,All of them,5
Muchinga,Don't know/ Haven't heard enough,4
Muchinga,Most of them,19
Muchinga,None,10
Muchinga,Some of them,26
North-Western,All of them,2
North-Western,Don't know/ Haven't heard enough,6
North-Western,Most of them,6
North-Western,None,6
North-Western,Some of them,44
Northern,All of them,15
Northern,Don't know/ Haven't heard enough,18
Northern,Most of them,10
Northern,None,28
Northern,Some of them,25
Southern,All of them,12
Southern,Don't know/ Haven't heard enough,4
Southern,Most of them,21
Southern,None,16
Southern,Some of them,83
Western,All of them,9
Western,Don't know/ Haven't heard enough,10
Western,Most of them,13
Western,None,14
Western,Some of them,34
Zambia,None,164
Zambia,All of them,115
Zambia,Most of them,202
Zambia,Don't know/ Haven't heard enough,89
Zambia,Some of them,629
