geography,elections_enable_voters_to_remove_leaders_from_office,total
Central,Don't know,16
Central,Not at all well,20
Central,Not very well,29
Central,Very well,35
Central,Well,20
Copperbelt,Don't know,19
Copperbelt,Not at all well,28
Copperbelt,Not very well,60
Copperbelt,Very well,29
Copperbelt,Well,56
Eastern,Don't know,30
Eastern,Not at all well,2
Eastern,Not very well,9
Eastern,Very well,46
Eastern,Well,49
Luapula,Don't know,4
Luapula,Not at all well,13
Luapula,Not very well,20
Luapula,Very well,29
Luapula,Well,21
Lusaka,Don't know,21
Lusaka,Not at all well,21
Lusaka,Not very well,62
Lusaka,Very well,55
Lusaka,Well,65
Muchinga,Don't know,12
Muchinga,Not at all well,5
Muchinga,Not very well,9
Muchinga,Very well,24
Muchinga,Well,13
North-Western,Don't know,6
North-Western,Not very well,6
North-Western,Very well,10
North-Western,Well,42
Northern,Don't know,6
Northern,Not at all well,5
Northern,Not very well,10
Northern,Very well,57
Northern,Well,18
Southern,Don't know,2
Southern,Not at all well,8
Southern,Not very well,35
Southern,Very well,24
Southern,Well,67
Western,Don't know,5
Western,Not at all well,12
Western,Not very well,29
Western,Very well,20
Western,Well,14
Zambia,Not very well,269
Zambia,Well,365
Zambia,Don't know,121
Zambia,Not at all well,114
Zambia,Very well,329
