geography,chinas_influence_on_economy,total
Central,A little,15
Central,A lot,74
Central,Don't know / Haven't heard enough,7
Central,None,4
Central,Some,20
Copperbelt,A little,23
Copperbelt,A lot,123
Copperbelt,Don't know / Haven't heard enough,2
Copperbelt,None,13
Copperbelt,Some,31
Eastern,A little,12
Eastern,A lot,89
Eastern,Don't know / Haven't heard enough,27
Eastern,None,5
Eastern,Some,3
Luapula,A little,14
Luapula,A lot,38
Luapula,Don't know / Haven't heard enough,12
Luapula,None,5
Luapula,Some,17
Lusaka,A little,21
Lusaka,A lot,154
Lusaka,Don't know / Haven't heard enough,16
Lusaka,None,3
Lusaka,Some,30
Muchinga,A little,5
Muchinga,A lot,44
Muchinga,Don't know / Haven't heard enough,8
Muchinga,Some,7
North-Western,A little,6
North-Western,A lot,43
North-Western,Don't know / Haven't heard enough,8
North-Western,None,2
North-Western,Some,5
Northern,A little,10
Northern,A lot,50
Northern,Don't know / Haven't heard enough,24
Northern,None,3
Northern,Some,9
Southern,A little,21
Southern,A lot,71
Southern,Don't know / Haven't heard enough,6
Southern,None,16
Southern,Some,22
Western,A little,6
Western,A lot,59
Western,Don't know / Haven't heard enough,3
Western,None,1
Western,Some,11
Zambia,A lot,745
Zambia,Don't know / Haven't heard enough,113
Zambia,Some,155
Zambia,None,52
Zambia,A little,133
