geography,corruption_police,total
Central,All of them,33
Central,Don't know/ Haven't heard enough,3
Central,Most of them,31
Central,None,8
Central,Some of them,45
Copperbelt,All of them,55
Copperbelt,Don't know/ Haven't heard enough,2
Copperbelt,Most of them,56
Copperbelt,None,5
Copperbelt,Some of them,74
Eastern,All of them,39
Eastern,Don't know/ Haven't heard enough,3
Eastern,Most of them,36
Eastern,None,8
Eastern,Some of them,50
Luapula,All of them,14
Luapula,Most of them,34
Luapula,None,7
Luapula,Some of them,32
Lusaka,All of them,55
Lusaka,Don't know/ Haven't heard enough,14
Lusaka,Most of them,71
Lusaka,None,7
Lusaka,Some of them,77
Muchinga,All of them,13
Muchinga,Don't know/ Haven't heard enough,3
Muchinga,Most of them,25
Muchinga,None,5
Muchinga,Some of them,18
North-Western,All of them,3
North-Western,Don't know/ Haven't heard enough,1
North-Western,Most of them,20
North-Western,Some of them,40
Northern,All of them,17
Northern,Don't know/ Haven't heard enough,14
Northern,Most of them,20
Northern,None,17
Northern,Some of them,28
Southern,All of them,15
Southern,Don't know/ Haven't heard enough,1
Southern,Most of them,39
Southern,None,10
Southern,Some of them,69
Western,All of them,15
Western,Don't know/ Haven't heard enough,6
Western,Most of them,18
Western,None,15
Western,Some of them,26
Zambia,None,82
Zambia,All of them,259
Zambia,Most of them,350
Zambia,Don't know/ Haven't heard enough,47
Zambia,Some of them,459
