geography,occupation_of_respondent,total
Central,Agriculture / farming / fishing / forestry,19
Central,Artisan or skilled manual worker,4
Central,Clerical or secretarial,4
Central,Don't know,1
Central,Housewife / homemaker,15
Central,Mid-level professional,11
Central,Never had a job,18
Central,Other,1
Central,Retail / Shop,2
Central,Security services,6
Central,Student,12
Central,Supervisor / Foreman / Senior Manager,1
Central,Trader / hawker / vendor,2
Central,Unskilled manual worker,23
Copperbelt,Agriculture / farming / fishing / forestry,9
Copperbelt,Artisan or skilled manual worker,10
Copperbelt,Housewife / homemaker,17
Copperbelt,Mid-level professional,2
Copperbelt,Never had a job,44
Copperbelt,Other,13
Copperbelt,Retail / Shop,5
Copperbelt,Security services,3
Copperbelt,Student,29
Copperbelt,Supervisor / Foreman / Senior Manager,6
Copperbelt,Trader / hawker / vendor,19
Copperbelt,Unskilled manual worker,30
Copperbelt,Upper-level professional,5
Eastern,Agriculture / farming / fishing / forestry,83
Eastern,Artisan or skilled manual worker,1
Eastern,Don't know,1
Eastern,Housewife / homemaker,14
Eastern,Mid-level professional,6
Eastern,Never had a job,10
Eastern,Other,2
Eastern,Retail / Shop,2
Eastern,Student,3
Eastern,Trader / hawker / vendor,6
Eastern,Unskilled manual worker,6
Eastern,Upper-level professional,1
Luapula,Agriculture / farming / fishing / forestry,15
Luapula,Artisan or skilled manual worker,3
Luapula,Clerical or secretarial,1
Luapula,Don't know,1
Luapula,Housewife / homemaker,6
Luapula,Mid-level professional,1
Luapula,Never had a job,29
Luapula,Other,1
Luapula,Retail / Shop,2
Luapula,Security services,2
Luapula,Student,17
Luapula,Trader / hawker / vendor,2
Luapula,Unskilled manual worker,4
Luapula,Upper-level professional,2
Lusaka,Agriculture / farming / fishing / forestry,5
Lusaka,Artisan or skilled manual worker,9
Lusaka,Clerical or secretarial,6
Lusaka,Don't know,1
Lusaka,Housewife / homemaker,22
Lusaka,Mid-level professional,13
Lusaka,Never had a job,34
Lusaka,Other,18
Lusaka,Retail / Shop,11
Lusaka,Security services,2
Lusaka,Student,49
Lusaka,Supervisor / Foreman / Senior Manager,6
Lusaka,Trader / hawker / vendor,16
Lusaka,Unskilled manual worker,28
Lusaka,Upper-level professional,3
Muchinga,Agriculture / farming / fishing / forestry,13
Muchinga,Artisan or skilled manual worker,2
Muchinga,Housewife / homemaker,7
Muchinga,Mid-level professional,8
Muchinga,Never had a job,11
Muchinga,Retail / Shop,2
Muchinga,Student,7
Muchinga,Supervisor / Foreman / Senior Manager,1
Muchinga,Trader / hawker / vendor,2
Muchinga,Unskilled manual worker,11
North-Western,Agriculture / farming / fishing / forestry,23
North-Western,Artisan or skilled manual worker,2
North-Western,Clerical or secretarial,1
North-Western,Housewife / homemaker,3
North-Western,Mid-level professional,3
North-Western,Never had a job,13
North-Western,Other,4
North-Western,Security services,1
North-Western,Student,7
North-Western,Supervisor / Foreman / Senior Manager,1
North-Western,Trader / hawker / vendor,2
North-Western,Unskilled manual worker,4
Northern,Agriculture / farming / fishing / forestry,35
Northern,Artisan or skilled manual worker,5
Northern,Housewife / homemaker,13
Northern,Mid-level professional,4
Northern,Never had a job,18
Northern,Other,4
Northern,Retail / Shop,1
Northern,Security services,1
Northern,Student,6
Northern,Trader / hawker / vendor,1
Northern,Unskilled manual worker,6
Northern,Upper-level professional,2
Southern,Agriculture / farming / fishing / forestry,47
Southern,Artisan or skilled manual worker,7
Southern,Don't know,1
Southern,Housewife / homemaker,26
Southern,Mid-level professional,7
Southern,Never had a job,8
Southern,Other,4
Southern,Retail / Shop,1
Southern,Security services,2
Southern,Student,6
Southern,Supervisor / Foreman / Senior Manager,1
Southern,Trader / hawker / vendor,9
Southern,Unskilled manual worker,14
Southern,Upper-level professional,3
Western,Agriculture / farming / fishing / forestry,36
Western,Artisan or skilled manual worker,2
Western,Don't know,1
Western,Housewife / homemaker,7
Western,Mid-level professional,18
Western,Never had a job,6
Western,Other,2
Western,Retail / Shop,3
Western,Student,1
Western,Trader / hawker / vendor,2
Western,Unskilled manual worker,2
Zambia,Agriculture / farming / fishing / forestry,285
Zambia,Student,137
Zambia,Unskilled manual worker,128
Zambia,Artisan or skilled manual worker,45
Zambia,Trader / hawker / vendor,61
Zambia,Clerical or secretarial,12
Zambia,Never had a job,191
Zambia,Housewife / homemaker,130
Zambia,Other,49
Zambia,Supervisor / Foreman / Senior Manager,16
Zambia,Mid-level professional,73
Zambia,Upper-level professional,16
Zambia,Security services,17
Zambia,Don't know,6
Zambia,Retail / Shop,29
