geography,chinas_influence_positive_or_negative,total
Central,Don't know / Haven't heard enough,6
Central,Neither positive nor negative,11
Central,Somewhat negative,4
Central,Somewhat positive,33
Central,Very negative,7
Central,Very positive,59
Copperbelt,Don't know / Haven't heard enough,7
Copperbelt,Neither positive nor negative,8
Copperbelt,Somewhat negative,9
Copperbelt,Somewhat positive,60
Copperbelt,Very negative,15
Copperbelt,Very positive,93
Eastern,Don't know / Haven't heard enough,30
Eastern,Neither positive nor negative,9
Eastern,Somewhat negative,4
Eastern,Somewhat positive,14
Eastern,Very negative,4
Eastern,Very positive,75
Luapula,Don't know / Haven't heard enough,12
Luapula,Neither positive nor negative,8
Luapula,Somewhat negative,6
Luapula,Somewhat positive,21
Luapula,Very negative,3
Luapula,Very positive,36
Lusaka,Don't know / Haven't heard enough,20
Lusaka,Neither positive nor negative,12
Lusaka,Somewhat negative,14
Lusaka,Somewhat positive,58
Lusaka,Very negative,9
Lusaka,Very positive,111
Muchinga,Don't know / Haven't heard enough,8
Muchinga,Neither positive nor negative,6
Muchinga,Somewhat negative,1
Muchinga,Somewhat positive,12
Muchinga,Very negative,1
Muchinga,Very positive,36
North-Western,Don't know / Haven't heard enough,7
North-Western,Neither positive nor negative,3
North-Western,Somewhat negative,3
North-Western,Somewhat positive,13
North-Western,Very positive,38
Northern,Don't know / Haven't heard enough,15
Northern,Neither positive nor negative,6
Northern,Somewhat negative,6
Northern,Somewhat positive,23
Northern,Very negative,9
Northern,Very positive,37
Southern,Don't know / Haven't heard enough,8
Southern,Neither positive nor negative,12
Southern,Somewhat negative,6
Southern,Somewhat positive,29
Southern,Very negative,23
Southern,Very positive,58
Western,Don't know / Haven't heard enough,2
Western,Neither positive nor negative,8
Western,Somewhat negative,2
Western,Somewhat positive,14
Western,Very negative,1
Western,Very positive,53
Zambia,Don't know / Haven't heard enough,115
Zambia,Somewhat positive,277
Zambia,Somewhat negative,55
Zambia,Neither positive nor negative,83
Zambia,Very negative,72
Zambia,Very positive,596
