geography,corruption_members_of_parliament,total
Central,All of them,18
Central,Don't know/ Haven't heard enough,9
Central,Most of them,31
Central,None,16
Central,Some of them,46
Copperbelt,All of them,44
Copperbelt,Don't know/ Haven't heard enough,2
Copperbelt,Most of them,41
Copperbelt,None,7
Copperbelt,Some of them,98
Eastern,All of them,4
Eastern,Don't know/ Haven't heard enough,9
Eastern,Most of them,31
Eastern,None,15
Eastern,Some of them,77
Luapula,All of them,3
Luapula,Don't know/ Haven't heard enough,3
Luapula,Most of them,18
Luapula,None,12
Luapula,Some of them,51
Lusaka,All of them,22
Lusaka,Don't know/ Haven't heard enough,17
Lusaka,Most of them,51
Lusaka,None,12
Lusaka,Some of them,122
Muchinga,All of them,7
Muchinga,Don't know/ Haven't heard enough,3
Muchinga,Most of them,20
Muchinga,None,8
Muchinga,Some of them,26
North-Western,All of them,2
North-Western,Don't know/ Haven't heard enough,6
North-Western,Most of them,7
North-Western,None,3
North-Western,Some of them,46
Northern,All of them,13
Northern,Don't know/ Haven't heard enough,16
Northern,Most of them,18
Northern,None,21
Northern,Some of them,28
Southern,All of them,14
Southern,Don't know/ Haven't heard enough,3
Southern,Most of them,34
Southern,None,16
Southern,Some of them,69
Western,All of them,6
Western,Don't know/ Haven't heard enough,6
Western,Most of them,19
Western,None,16
Western,Some of them,33
Zambia,None,126
Zambia,All of them,133
Zambia,Most of them,270
Zambia,Don't know/ Haven't heard enough,74
Zambia,Some of them,596
